Player,Position,Rank,Team,Price,Points
Jonathan Taylor,RB,RB1,IND,76,297
Aaron Jones,RB,RB12,GB,54,212
Stefon Diggs,WR,WR5,BUF,52,210
D'Andre Swift,RB,RB10,DET,50,222
J.K. Dobbins,RB,RB19,BAL,37,197
Breece Hall,RB,RB21,NYJ,33,191
Tee Higgins,WR,WR9,CIN,32,196
Michael Pittman Jr.,WR,WR14,IND,28,183
David Montgomery,RB,RB15,CHI,27,208
Terry McLaurin,WR,WR16,WAS,25,182
Kareem Hunt,RB,RB27,CLE,21,158
Courtland Sutton,WR,WR22,DEN,20,174
D Hopkins,WR,WR46,ARI,7,141
Darnell Mooney,WR,WR20,CHI,17,174
Chris Godwin,WR,WR24,TB,15,173
JuJu Smith-Schuster,WR,WR32,KC,15,160
Dalton Schultz,TE,TE6,DAL,12,138
Dallas Goedert,TE,TE8,PHI,10,122
Rhamondre Stevenson,RB,RB35,NE,10,144
Trey Lance,QB,QB13,SF,9,285
Michael Gallup,WR,WR50,DAL,4,130
Adam Thielen,WR,WR34,MIN,9,156
Joe Mixon,RB,RB5,CIN,64,235
Alvin Kamara,RB,RB9,NO,60,227
James Conner,RB,RB11,ARI,44,216
Rashaad Penny,RB,RB33,SEA,8,145
AJ Dillon,RB,RB34,GB,8,144
Nick Chubb,RB,RB16,CLE,36,201
Tom Brady,QB,QB9,TB,9,309
Brandon Aiyuk,WR,WR45,SF,8,143
Russell Wilson,QB,QB10,DEN,7,303
Cole Kmet,TE,TE15,CHI,5,109
Michael Thomas,WR,WR43,NO,5,149
Tyler Allgeier,RB,RB52,ATL,4,100
Garrett Wilson,WR,WR37,NYJ,4,153
Damien Pierce,RB,RB49,HOU,4,104
Kirk Cousins,QB,QB14,MIN,2,271